,,Missing,Overall
n,,,38148
"Numeric_Age, mean (SD)",,0,54.0 (13.8)
"Clean_Age, n (%)",20 - 39 years,,4401 (11.5)
"Clean_Age, n (%)",40 - 59 years,,18403 (48.2)
"Clean_Age, n (%)",60 - 79 years,,13811 (36.2)
"Clean_Age, n (%)",80+ years,,1533 (4.0)
"Clean_Race, n (%)",American Indian / Alaska Native,,237 (0.6)
"Clean_Race, n (%)",Asian / Pacific Islander,,3652 (9.6)
"Clean_Race, n (%)",Hispanic,,5048 (13.2)
"Clean_Race, n (%)",Non-Hispanic Black,,2285 (6.0)
"Clean_Race, n (%)",Non-Hispanic White,,26821 (70.3)
"Clean_Race, n (%)",Other/Unknown,,105 (0.3)
"Clean_Income, n (%)","< $60,000",,3872 (10.1)
"Clean_Income, n (%)","$60,000 - $99,999",,25664 (67.3)
"Clean_Income, n (%)","$100,000+",,8606 (22.6)
"Clean_Income, n (%)",Unknown/Missing,,6 (0.0)
"Clean_Rural_Urban, n (%)",Rural (Nonmetropolitan),,3889 (10.2)
"Clean_Rural_Urban, n (%)",Unknown/Missing,,33 (0.1)
"Clean_Rural_Urban, n (%)",Urban (Metropolitan),,34226 (89.7)
"Clean_Stage, n (%)",Localized,,11086 (29.1)
"Clean_Stage, n (%)",Regional,,11478 (30.1)
"Clean_Stage, n (%)",Distant,,14107 (37.0)
"Clean_Stage, n (%)",Unknown/unstaged,,1477 (3.9)
